building_effects_junction_tables	3
building	effect	effect_scope	value	value_damaged	value_ruined
vik_market_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_market_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_market_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_market_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_market_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_offas_hall_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_offas_hall_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_offas_hall_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_offas_hall_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_offas_hall_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_rock_caisil_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_rock_caisil_2	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_rock_caisil_3	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_rock_caisil_4	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_rock_caisil_5	shield_scripted_household_growth	building_to_building_own	12	12	0
vik_st_ringan_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_st_ringan_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_st_ringan_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_st_ringan_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_st_ringan_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_st_cuthbert_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_st_cuthbert_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_st_cuthbert_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_st_cuthbert_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_st_cuthbert_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_st_dewi_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_st_dewi_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_st_dewi_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_st_dewi_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_st_dewi_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_st_edmund_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_st_edmund_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_st_edmund_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_st_edmund_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_st_edmund_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_school_ros_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_school_ros_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_school_ros_3	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_school_ros_4	shield_scripted_household_growth	building_to_building_own	8	8	0
vik_school_ros_5	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_tin_3	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_silver_1	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_silver_2	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_silver_3	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_silver_b_3	shield_scripted_household_growth	building_to_building_own	9	9	0
vik_iron_3	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_gold_1	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_gold_2	shield_scripted_household_growth	building_to_building_own	10	10	0
vik_gold_3	shield_scripted_household_growth	building_to_building_own	15	15	0
vik_gold_b_3	shield_scripted_household_growth	building_to_building_own	15	15	0
vik_copper_3	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_farm_b_2	shield_scripted_household_growth	building_to_building_own	1	1	0
vik_farm_b_3	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_farm_b_4	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_farm_b_5	shield_scripted_household_growth	building_to_building_own	6	6	0
vik_hunting_b_2	shield_scripted_household_growth	building_to_building_own	1	1	0
vik_hunting_b_3	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_hunting_b_4	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_hunting_b_5	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_orchard_b_2	shield_scripted_household_growth	building_to_building_own	1	1	0
vik_orchard_b_3	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_orchard_b_4	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_orchard_b_5	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_pasture_b_2	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_pasture_b_3	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_pasture_b_4	shield_scripted_household_growth	building_to_building_own	5	5	0
vik_pasture_b_5	shield_scripted_household_growth	building_to_building_own	7	7	0
vik_garrison_2	shield_scripted_household_growth	building_to_building_own	3	3	0
vik_estate_1	shield_scripted_household_growth	building_to_building_own	2	2	0
vik_estate_2	shield_scripted_household_growth	building_to_building_own	4	4	0
vik_estate_3	shield_scripted_household_growth	building_to_building_own	6	6	0
