building_levels_tables	11
level_name	chain	level	create_time	create_cost	upkeep_cost	commodity	commodity_vol	only_in_capital	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	destruction_terminator	faction_unique	religion_requirement	first_in_world_bundle	resource_requirement	unique_index	can_convert	building_instance_key	audio_building_type	should_show_building_level_in_ui_for_technology	health_override	development_point_cost	has_aqueduct	can_be_damaged	requires_primary_slot_in_group
vik_arena_1	vik_arena	0	3	375	35		0	false	0	0	0	0	true	false				14434	true	vik_arena	military	true	0	0	false	true	
vik_arena_2	vik_arena	1	3	210	50		0	false	0	0	0	0	false	false				14443	true	vik_arena	military	true	0	0	false	true	
vik_arena_3	vik_arena	2	3	240	60		0	false	0	0	0	0	false	false				14444	true	vik_arena	military	true	0	0	false	true	
vik_artisans_1	vik_artisans	0	10	550	0		0	false	0	0	0	0	true	false				17185	true	vik_artisans	workshop_stonemasonry	true	0	0	false	true	
vik_artisans_2	vik_artisans	1	4	350	0		0	false	0	0	0	0	false	false				17188	true	vik_artisans	workshop_stonemasonry	true	0	0	false	true	
vik_artisans_3	vik_artisans	2	4	400	0		0	false	0	0	0	0	false	false				17198	true	vik_artisans	workshop_stonemasonry	true	0	0	false	true	
vik_assembly_1	vik_assembly	0	4	560	55		0	false	0	0	0	0	true	false				15810	true	vik_bard	law_court	true	0	0	false	true	
vik_assembly_2	vik_assembly	1	4	375	65		0	false	0	0	0	0	false	false				15813	true	vik_bard	law_court	true	0	0	false	true	
vik_assembly_3	vik_assembly	2	4	300	70		0	false	0	0	0	0	false	false				15822	true	vik_bard	law_court	true	0	0	false	true	
vik_church_1	vik_church	0	9	920	5		0	false	0	0	0	0	false	false				14461	true	vik_church	church	true	0	0	false	true	
vik_church_2	vik_church	1	5	460	10		0	false	0	0	0	0	false	false				14470	true	vik_church	church	true	0	0	false	true	
vik_church_3	vik_church	2	5	610	20		0	false	0	0	0	0	false	false				14477	true	vik_church	church	true	0	0	false	true	
vik_tithe_hall_1	vik_tithe_hall	0	6	400	0		0	false	0	0	0	0	true	false				15915	true	vik_tithe_hall	farm	true	0	0	false	true	
vik_tithe_hall_2	vik_tithe_hall	1	4	190	0		0	false	0	0	0	0	false	false				15918	true	vik_tithe_hall	farm	true	0	0	false	true	
vik_tithe_hall_3	vik_tithe_hall	2	4	275	0		0	false	0	0	0	0	false	false				15919	true	vik_tithe_hall	farm	true	0	0	false	true	
vik_craft_merchant_1	vik_craft_merchant	0	6	770	0		0	false	0	0	0	0	true	false				17241	true	vik_craft_merchant	market	true	0	0	false	true	
vik_craft_merchant_2	vik_craft_merchant	1	5	500	0		0	false	0	0	0	0	false	false				17248	true	vik_craft_merchant	market	true	0	0	false	true	
vik_craft_merchant_3	vik_craft_merchant	2	8	800	0		0	false	0	0	0	0	false	false				17252	true	vik_craft_merchant	market	true	0	0	false	true	
vik_craft_merchant_b_2	vik_craft_merchant	1	5	570	0		0	false	0	0	0	0	false	false				17253	true	vik_craft_merchant	market	true	0	0	false	true	
vik_craft_merchant_b_3	vik_craft_merchant	2	8	870	0		0	false	0	0	0	0	false	false				17254	true	vik_craft_merchant	market	true	0	0	false	true	
vik_forge_1	vik_forge	0	9	700	10		0	false	0	0	0	0	true	false				14573	true	vik_forge	workshop	true	0	0	false	true	
vik_forge_2	vik_forge	1	8	590	30		0	false	0	0	0	0	false	false				14574	true	vik_forge	workshop	true	0	0	false	true	
vik_forge_3	vik_forge	2	8	650	50		0	false	0	0	0	0	false	false				14578	true	vik_forge	workshop	true	0	0	false	true	
vik_wood_1	vik_wood	0	6	380	0		0	false	0	0	0	0	true	false				16255	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_2	vik_wood	1	4	310	0		0	false	0	0	0	0	false	false				16264	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_3	vik_wood	2	4	425	0		0	false	0	0	0	0	false	false				16270	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_4	vik_wood	3	9999	9999	0		0	false	0	0	0	0	false	false				16272	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_5	vik_wood	4	9999	9999	0		0	false	0	0	0	0	false	false				16274	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_b_2	vik_wood	1	9999	9999	0		0	false	0	0	0	0	false	false				17522	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_b_3	vik_wood	2	9999	9999	0		0	false	0	0	0	0	false	false				17524	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_b_4	vik_wood	3	9999	9999	0		0	false	0	0	0	0	false	false				17104	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_wood_b_5	vik_wood	4	9999	9999	0		0	false	0	0	0	0	false	false				17110	true	vik_resource	workshop_carpentry	true	0	0	false	true	
vik_workshop_1	vik_workshop	0	4	1300	0		0	false	0	0	0	0	true	false				17331	true	vik_workshop	workshop_stonemasonry	true	0	0	false	true	
vik_workshop_2	vik_workshop	1	4	2700	0		0	false	0	0	0	0	false	false				17332	true	vik_workshop	workshop_stonemasonry	true	0	0	false	true	
vik_workshop_3	vik_workshop	2	4	4850	0		0	false	0	0	0	0	false	false				17342	true	vik_workshop	workshop_stonemasonry	true	0	0	false	true	
vik_warehouse_1	vik_warehouse	0	6	400	0		0	false	0	0	0	0	true	false				17308	true	vik_warehouse	market	true	0	0	false	true	
vik_warehouse_2	vik_warehouse	1	6	280	0		0	false	0	0	0	0	false	false				17316	true	vik_warehouse	market	true	0	0	false	true	
vik_warehouse_3	vik_warehouse	2	8	360	0		0	false	0	0	0	0	false	false				17325	true	vik_warehouse	market	true	0	0	false	true	
vik_textiles_1	vik_textiles	0	8	575	0		0	false	0	0	0	0	true	false				17578	true	vik_textiles	workshop_weaver	false	0	0	false	true	
vik_textiles_2	vik_textiles	1	5	310	0		0	false	0	0	0	0	false	false				17579	true	vik_textiles	workshop_weaver	false	0	0	false	true	
vik_textiles_3	vik_textiles	2	6	400	0		0	false	0	0	0	0	false	false				17581	true	vik_textiles	workshop_weaver	false	0	0	false	true	
vik_thing_1	vik_thing	0	6	370	0		0	false	0	0	0	0	true	false				15983	true	vik_law	workshop	true	0	0	false	true	
vik_thing_2	vik_thing	1	4	290	0		0	false	0	0	0	0	false	false				15989	true	vik_law	workshop	true	0	0	false	true	
vik_thing_3	vik_thing	2	4	325	0		0	false	0	0	0	0	false	false				15993	true	vik_law	workshop	true	0	0	false	true	
vik_thrall_1	vik_thrall	0	9	450	0		0	false	0	0	0	0	true	false				15715	true	vik_thrall	workshop	true	0	0	false	true	
vik_thrall_2	vik_thrall	1	6	350	0		0	false	0	0	0	0	false	false				15718	true	vik_thrall	workshop	true	0	0	false	true	
vik_thrall_3	vik_thrall	2	6	425	0		0	false	0	0	0	0	false	false				15719	true	vik_thrall	workshop	true	0	0	false	true	
vik_moot_hill_1	vik_moot_hill	0	6	400	0		0	false	0	0	0	0	true	false				15959	true	vik_law	law_court	true	0	0	false	true	
vik_moot_hill_2	vik_moot_hill	1	3	300	0		0	false	0	0	0	0	false	false				15968	true	vik_law	law_court	true	0	0	false	true	
vik_moot_hill_3	vik_moot_hill	2	3	325	0		0	false	0	0	0	0	false	false				15975	true	vik_law	law_court	true	0	0	false	true	
vik_mint_1	vik_mint	0	12	1300	0		0	false	0	0	0	0	true	false				15560	true	vik_mint	workshop	true	0	0	false	true	
vik_mint_2	vik_mint	1	6	600	0		0	false	0	0	0	0	false	false				15562	true	vik_mint	workshop	true	0	0	false	true	
vik_mint_3	vik_mint	2	9	700	0		0	false	0	0	0	0	false	false				15572	true	vik_mint	workshop	true	0	0	false	true	
vik_merchant_1	vik_merchant	0	6	600	0		0	false	0	0	0	0	true	false				17268	true	vik_merchant	market	true	0	0	false	true	
vik_merchant_2	vik_merchant	1	4	300	0		0	false	0	0	0	0	false	false				17270	true	vik_merchant	market	true	0	0	false	true	
vik_merchant_3	vik_merchant	2	4	330	0		0	false	0	0	0	0	false	false				17271	true	vik_merchant	market	true	0	0	false	true	
vik_master_forge_1	vik_master_forge	0	12	900	15		0	false	0	0	0	0	true	false				15529	true	vik_master_forge	workshop	true	0	0	false	true	
vik_master_forge_2	vik_master_forge	1	10	660	45		0	false	0	0	0	0	false	false				15533	true	vik_master_forge	workshop	true	0	0	false	true	
vik_master_forge_3	vik_master_forge	2	10	770	60		0	false	0	0	0	0	false	false				15535	true	vik_master_forge	workshop	true	0	0	false	true	
vik_market_fair_1	vik_market_fair	0	6	700	0		0	false	0	0	0	0	true	false				15828	true	vik_tanner	market	true	0	0	false	true	
vik_market_fair_2	vik_market_fair	1	3	300	0		0	false	0	0	0	0	false	false				15833	true	vik_tanner	market	true	0	0	false	true	
vik_market_fair_3	vik_market_fair	2	3	400	0		0	false	0	0	0	0	false	false				15839	true	vik_tanner	market	true	0	0	false	true	
vik_court_1	vik_court	0	6	720	0		0	false	0	0	0	0	true	false				14493	true	vik_law	law_court	true	0	0	false	true	
vik_court_2	vik_court	1	3	360	12		0	false	0	0	0	0	false	false				14502	true	vik_law	law_court	true	0	0	false	true	
vik_court_3	vik_court	2	4	395	30		0	false	0	0	0	0	false	false				14511	true	vik_law	law_court	true	0	0	false	true	
vik_estate_1	vik_estate	0	8	985	10		0	false	0	0	0	0	true	false				15871	true	vik_bonus	town	true	0	0	false	true	
vik_estate_2	vik_estate	1	4	485	16		0	false	0	0	0	0	false	false				15880	true	vik_bonus	town	true	0	0	false	true	
vik_estate_3	vik_estate	2	6	585	22		0	false	0	0	0	0	false	false				15882	true	vik_bonus	town	true	0	0	false	true	
vik_high_cross_1	vik_high_cross	0	3	190	0		0	false	0	0	0	0	true	false				14655	true	vik_high_cross	roman_temple	true	0	0	false	true	
vik_high_cross_2	vik_high_cross	1	6	290	0		0	false	0	0	0	0	false	false				14665	true	vik_high_cross	roman_temple	true	0	0	false	true	
vik_tools_1	vik_tools	0	9	570	0		0	false	0	0	0	0	true	false				15925	true	vik_tools	workshop_stonemasonry	true	0	0	false	true	
vik_tools_2	vik_tools	1	6	360	0		0	false	0	0	0	0	false	false				15928	true	vik_tools	workshop_stonemasonry	true	0	0	false	true	
vik_tools_3	vik_tools	2	7	480	0		0	false	0	0	0	0	false	false				15936	true	vik_tools	workshop_stonemasonry	true	0	0	false	true	
vik_tools_b_2	vik_tools	1	5	330	0		0	false	0	0	0	0	false	false				15937	true	vik_tools	workshop_stonemasonry	true	0	0	false	true	
vik_tools_b_3	vik_tools	2	6	450	0		0	false	0	0	0	0	false	false				15938	true	vik_tools	workshop_stonemasonry	true	0	0	false	true	
