effect_bundles_tables	1
key	localised_description	localised_title	ui_icon	bundle_target
vik_faction_trait_caisil_campaign	Caisil get the following bonuses:	Caisil	trait_caisil.png	faction
vik_faction_trait_caisil_separatist	Caisil get the following bonuses:	Caisil	trait_caisil.png	faction
vik_faction_trait_circenn	Circenn get the following bonuses:	Circenn	trait_circenn.png	faction
vik_faction_trait_circenn_campaign	Circenn get the following bonuses:	Circenn	trait_circenn.png	faction
vik_faction_trait_circenn_separatist	Circenn Separatists get the following bonuses:	Circenn Separatists	trait_circenn.png	faction
vik_faction_trait_dyflin	Dyflin get the following bonuses:	Dyflin	trait_dyflin.png	faction
vik_faction_trait_dyflin_campaign	Dyflin get the following bonuses:	Dyflin	trait_dyflin.png	faction
vik_faction_trait_dyflin_separatist	Dyflin Separatists get the following bonuses:	Dyflin Separatists	trait_dyflin.png	faction
vik_faction_trait_east_engle	East Engle get the following bonuses:	East Engle	trait_east_engle.png	faction
vik_faction_trait_east_engle_campaign	East Engle get the following bonuses:	East Engle	trait_east_engle.png	faction
vik_faction_trait_east_engle_separatist	East Engle Separatists get the following bonuses:	East Engle Separatists	trait_east_engle.png	faction
vik_faction_trait_english	English Kingdoms get the following bonuses:	English Kingdoms	english_kingdoms.png	faction
vik_faction_trait_gael	Gaelic Kingdoms get the following bonuses:	Gaelic Kingdoms	gaelic_kingdoms.png	faction
vik_faction_trait_great_viking_army	Great Viking Army get the following bonuses:	Great Viking Army	great_viking_army.png	faction
vik_faction_trait_gwined	Gwined get the following bonuses:	Gwined	trait_gwined.png	faction
vik_faction_trait_gwined_campaign	Gwined get the following bonuses:	Gwined	trait_gwined.png	faction
vik_faction_trait_gwined_separatist	Gwined Separatists get the following bonuses:	Gwined Separatists	trait_gwined.png	faction
vik_faction_trait_hellirborg	Hellirborg get the following bonuses:	Hellirborg	trait_hellirborg.png	faction
vik_faction_trait_hellirborg_campaign	Hellirborg get the following bonuses:	Hellirborg	trait_hellirborg.png	faction
vik_faction_trait_hellirborg_separatist	Hellirborg get the following bonuses:	Hellirborg	trait_hellirborg.png	faction
vik_faction_trait_hlymrekr	Hlymrekr get the following bonuses:	Hlymrekr	trait_hlymrekr.png	faction
vik_faction_trait_hlymrekr_campaign	Hlymrekr get the following bonuses:	Hlymrekr	trait_hlymrekr.png	faction
vik_faction_trait_hlymrekr_separatist	Hlymrekr get the following bonuses:	Hlymrekr	trait_hlymrekr.png	faction
vik_faction_trait_mide	Mide get the following bonuses:	Mide	trait_mide.png	faction
vik_faction_trait_mide_campaign	Mide get the following bonuses:	Mide	trait_mide.png	faction
vik_faction_trait_mide_separatist	Mide Separatists get the following bonuses:	Mide Separatists	trait_mide.png	faction
vik_faction_trait_mierce	Mierce get the following bonuses:	Mierce	trait_mierce.png	faction
vik_faction_trait_mierce_campaign	Mierce get the following bonuses:	Mierce	trait_mierce.png	faction
vik_faction_trait_mierce_separatist	Mierce Separatists get the following bonuses:	Mierce Separatists	trait_mierce.png	faction
vik_faction_trait_northleode	Northleode get the following bonuses:	Northleode	trait_northleode.png	faction
vik_faction_trait_northleode_campaign	Northleode get the following bonuses:	Northleode	trait_northleode.png	faction
vik_faction_trait_northleode_separatist	Northleode get the following bonuses:	Northleode	trait_northleode.png	faction
vik_faction_trait_northymbre	Northymbre get the following bonuses:	Northymbre	trait_northymbre.png	faction
vik_faction_trait_northymbre_campaign	Northymbre get the following bonuses:	Northymbre	trait_northymbre.png	faction
vik_faction_trait_northymbre_separatist	Northymbre Separatists get the following bonuses:	Northymbre Separatists	trait_northymbre.png	faction
vik_faction_trait_rebels	Rebels get the following bonuses:	Rebels	trait_hunni.png	faction
vik_faction_trait_seisilwig	Seisilwig get the following bonuses:	Seisilwig	trait_seisilwig.png	faction
vik_faction_trait_seisilwig_campaign	Seisilwig get the following bonuses:	Seisilwig	trait_seisilwig.png	faction
vik_faction_trait_seisilwig_separatist	Seisilwig get the following bonuses:	Seisilwig	trait_seisilwig.png	faction
vik_faction_trait_strat_clut	Strat Clut get the following bonuses:	Strat Clut	trait_strat_clut.png	faction
vik_faction_trait_strat_clut_campaign	Strat Clut get the following bonuses:	Strat Clut	trait_strat_clut.png	faction
vik_faction_trait_strat_clut_separatist	Strat Clut Separatists get the following bonuses:	Strat Clut Separatists	trait_strat_clut.png	faction
vik_faction_trait_sudreyar	Sudreyar get the following bonuses:	Sudreyar	trait_sudreyar.png	faction
vik_faction_trait_sudreyar_campaign	Sudreyar get the following bonuses:	Sudreyar	trait_sudreyar.png	faction
vik_faction_trait_sudreyar_separatist	Sudreyar Separatists get the following bonuses:	Sudreyar Separatists	trait_sudreyar.png	faction
vik_faction_trait_viking_sea_kings	Viking Sea Kings get the following bonuses:	Viking Sea Kings	viking_sea_kings.png	faction
vik_faction_trait_vikings	Vikings get the following bonuses:	Vikings	trait_hunni.png	faction
vik_faction_trait_vikings_major	Vikings get the following bonuses:	Vikings	trait_hunni.png	faction
vik_faction_trait_welsh	Welsh Kingdoms get the following bonuses:	Welsh Kingdoms	welsh_kingdoms.png	faction
vik_faction_trait_west_seaxe	West Seaxe get the following bonuses:	West Seaxe	trait_west_seaxe.png	faction
vik_faction_trait_west_seaxe_campaign	West Seaxe get the following bonuses:	West Seaxe	trait_west_seaxe.png	faction
vik_faction_trait_west_seaxe_separatist	West Seaxe Separatists get the following bonuses:	West Seaxe Separatists	trait_west_seaxe.png	faction
vik_food_faction_negative	There is a great shortage of food across all your lands. Before long, the people will starve. Who will toil in your service then?	Famine	food.png	faction
vik_food_faction_negative_1	Your faction consumes more food than it produces, so some people have to go hungry.	Food Shortage	food.png	faction
vik_food_faction_negative_2	Your faction consumes more food than it produces, with the shortages becoming a large problem.	Food Shortage	food.png	faction
vik_food_faction_negative_3	There is a great shortage of food across all your lands. Before long, the people will starve. Who will toil in your service then?	Famine	food.png	faction
vik_food_faction_neutral	Your faction consumes exactly the same amount of food as it produces – a delicate position to be in.	Food	food.png	faction
vik_food_faction_positive	Your faction is benefiting from a surplus of food - there is more than enough here for all to prosper.	Food Surplus	food.png	faction
vik_food_faction_positive_1	Your faction has a modest surplus of food – your supplies are secure for now.	Food Surplus	food.png	faction
vik_food_faction_positive_2	Your faction has a surplus of food – there is more than enough here for all to prosper.	Food Surplus	food.png	faction
vik_food_faction_positive_3	 The land produces far more food than is required; no one goes hungry and there is plenty for all.	Abundant Food	food.png	faction
vik_food_province_negative_new	This province is severely affected by the current famine. People are starving and beg their masters for sustenance!	Famine	food.png	province
vik_foolish_trait_agricultural_estates	[PH]	[PH]	faction_leader.png	faction
vik_foolish_trait_noble_estates	[PH]	[PH]	faction_leader.png	faction
vik_foolish_trait_religious_estates	[PH]	[PH]	faction_leader.png	faction
vik_here_king_army_0	Angry soldiers are even more dangerous, and even less forgiving, than would ordinarily be the case.\n\nIncrease the army's happiness by enacting decrees, researching military technologies, and declaring war on other factions.	Here King: Army	cult_vik_army_army_negative.png	faction
vik_here_king_army_1	Happiness within an army's ranks tends to lead to far less pillaging and indiscriminate murder.\n\nIncrease the army's happiness by enacting decrees, researching military technologies, and declaring war on other factions.	Here King: Army	cult_vik_army_army.png	faction
vik_here_king_army_10	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_11	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_12	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_2	With rage in their hearts, men fight harder and longer, and give no quarter to the enemy.\n\nIncrease the army's happiness by enacting decrees, researching military technologies, and declaring war on other factions.	Here King: Army	cult_vik_army_army_negative.png	faction
vik_here_king_army_3	Having been victorious on a number of occasions, the men of the army are happy with their lot and eager to serve.	Here King: Army	cult_vik_army_army.png	faction
vik_here_king_army_4	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_5	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_6	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_7	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_8	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_army_9	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_dilemma_1_army	Share the money with the army	Favour the Army	cult_vik_army_army.png	faction
vik_here_king_dilemma_1_english	Share the money with the people	Favour the English	cult_vik_army_english.png	faction
vik_here_king_english_0	The lion is loose and rampant - the English are incandescent with rage!\n\nIncrease English happiness by enacting decrees, researching Civic technologies, and making peace with other factions.	Here King: English	cult_vik_army_english_negative.png	faction
vik_here_king_english_1	The English boil with anger! The lion strains at its leash!\n\nIncrease English happiness by enacting decrees, researching Civic technologies, and making peace with other factions.	Here King: English	cult_vik_army_english_negative.png	faction
vik_here_king_english_10	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_11	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_12	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_2	It would appear that the English are placated, at least for now. Everyone else is probably safer as a result!\n\nIncrease English happiness by enacting decrees, researching Civic technologies, and making peace with other factions.	Here King: English	cult_vik_army_english.png	faction
vik_here_king_english_3	The English are truly happy; it seems there is much joy to be gleaned from their green and pleasant land.	Here King: English	cult_vik_army_english.png	faction
vik_here_king_english_4	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_5	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_6	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_7	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_8	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_here_king_english_9	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroic_trait_agricultural_estates	[PH]	[PH]	faction_leader.png	faction
vik_heroic_trait_noble_estates	[PH]	[PH]	faction_leader.png	faction
vik_heroic_trait_religious_estates	[PH]	[PH]	faction_leader.png	faction
vik_heroism_0	Where are the men of legend, whose noble blood has quenched this great land?\n\nIncrease heroism by winning battles, owning Welsh land and ranking-up characters. Heroism naturally declines as time passes.	Heroism	cult_welsh_heroism_negative.png	faction
vik_heroism_1	Bravery and fortitude are the very best qualities in man, and can both be found among the heroes of the Welsh!\n\nIncrease heroism by winning battles, owning Welsh land and ranking-up characters. Heroism naturally declines as time passes.	Heroism	cult_welsh_heroism.png	faction
vik_heroism_10	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_2	Bravery and fortitude are the very best qualities in man, and can both be found among the heroes of the Welsh!\n\nIncrease heroism by winning battles, owning Welsh land and ranking-up characters. Heroism naturally declines as time passes.	Heroism	cult_welsh_heroism.png	faction
vik_heroism_3	Bravery and fortitude are the very best qualities in man, and can both be found among the heroes of the Welsh!\n\nIncrease heroism by winning battles, owning Welsh land and ranking-up characters. Heroism naturally declines as time passes.	Heroism	cult_welsh_heroism.png	faction
vik_heroism_4	Bravery and fortitude are the very best qualities in man, and can both be found among the heroes of the Welsh!\n\nIncrease heroism by winning battles, owning Welsh land and ranking-up characters. Heroism naturally declines as time passes.	Heroism	cult_welsh_heroism.png	faction
vik_heroism_5	There are now more heroes in this land than blood being spilled in its defence!	Heroism	cult_welsh_heroism.png	faction
vik_heroism_6	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_7	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_8	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_9	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_negative_1	old data - do not loc	old data - do not loc	faction_leader.png	faction
vik_heroism_negative_2	old data - do not loc	old data - do not loc	faction_leader.png	faction
